source_document,requirement_id,domain,title,requirement,verification_requirement,linked_controls,automation_type,automation_maturity,automation_check_type,machine_readable_evidence_required,automation_rationale
DevSecOps Policy,DSPOL-REQ-001,scope,Policy applicability,"The DevSecOps Policy applies to all SDD-relevant software components, organizational units, lifecycle phases, internally developed software, externally sourced software integrated into company systems, and relevant security domains.","Program applicability records SHALL identify whether the policy applies to each program, product, platform, and externally sourced software component.",DSCB-GOV-REQ-001,evidence_check,immediate,presence,true,Applicability can be checked through program and product inventory metadata.
DevSecOps Policy,DSPOL-REQ-002,scope,Exemption approval,Any exemption from the DevSecOps Policy must be formally justified and approved via the defined waiver process.,"Each exemption SHALL reference an approved waiver record with justification, risk classification, compensating controls, and expiry date.",DSCB-GOV-REQ-003; DSCB-GOV-REQ-005,blocking_gate,immediate,approval,true,Unapproved exemptions can be blocked through waiver registry checks.
DevSecOps Policy,DSPOL-REQ-003,fundamental_principles,Security by design and default,"Cybersecurity controls shall be integrated into architecture, development, and operations and enforced prior to deployment.",Release evidence SHALL show that required security controls and gates were executed before deployment.,DSCB-L1-REQ-009; DSCB-L1-REQ-010; DSCB-L2-REQ-011; DSCB-L2-REQ-012,evidence_check,tool_integration_required,linkage,true,"Requires linkage across architecture review, pipeline gates, and deployment approval evidence."
DevSecOps Policy,DSPOL-REQ-004,fundamental_principles,Safety integration,"Where applicable, safety requirements shall be integrated into the software lifecycle and supported by traceable and auditable evidence.",Safety applicability and evidence records SHALL be linked to lifecycle artifacts where safety relevance is declared.,DSCB-L1-REQ-001; DSCB-L3-REQ-009,evidence_check,tool_integration_required,linkage,true,Safety integration requires ALM or safety evidence integration and cannot be evaluated only from CI/CD.
DevSecOps Policy,DSPOL-REQ-005,fundamental_principles,Automation first,"Security, safety, quality, and compliance controls shall be implemented through automated mechanisms wherever technically feasible; test automation shall have project-defined coverage over all requirements and be measured as KPI.","Programs SHALL provide automation coverage evidence and KPI records for applicable security, safety, quality, compliance, and test automation controls.",DSCB-L1-REQ-015; DSCB-L3-REQ-011,evidence_check,tool_integration_required,presence,true,Automation coverage can be measured once pipeline and test management evidence are integrated.
DevSecOps Policy,DSPOL-REQ-006,fundamental_principles,Lifecycle ownership,Responsible teams shall maintain accountability from code creation through operational deployment and evolution.,"Ownership records SHALL link responsible teams to repositories, pipelines, artifacts, deployments, and operational records.",DSCB-L1-REQ-002; DSCB-L1-REQ-016,evidence_check,tool_integration_required,linkage,true,"Requires ownership metadata across repository, pipeline, deployment, and operations systems."
DevSecOps Policy,DSPOL-REQ-007,fundamental_principles,Federated execution under central governance,"Implementation may be decentralized across divisions and programs but shall operate within centrally defined governance, Standards, and control baselines.",Each division or program SHALL reference the centrally applicable standards and control baseline level in program governance records.,DSCB-GOV-REQ-001,evidence_check,immediate,presence,true,Governance records can identify applicable standards and baseline levels.
DevSecOps Policy,DSPOL-REQ-008,fundamental_principles,Evidence-based compliance,Compliance evidence shall be generated automatically from approved development and operational pipelines.,Approved pipelines SHALL generate machine-readable compliance evidence linked to control identifiers.,DSCB-L1-REQ-015; DSCB-L3-REQ-011,evidence_check,immediate,presence,true,Evidence bundle presence can be checked in pipeline outputs.
DevSecOps Policy,DSPOL-REQ-009,fundamental_principles,Domain-aware application,"DevSecOps implementation shall consider security domain, system criticality, and operational context while maintaining mandatory baseline controls.","Applicability records SHALL include security domain, system criticality, operational context, and assigned control baseline level.",DSCB-GOV-REQ-001,evidence_check,immediate,presence,true,Classification fields can be checked in program metadata.
DevSecOps Policy,DSPOL-REQ-010,minimum_requirements,Lifecycle phase implementation,"For each lifecycle phase, defined objectives, controls, and evidence SHALL be implemented in accordance with applicable Standards.","Lifecycle evidence SHALL show applicable objectives, controls, and evidence for each relevant lifecycle phase.",DSCB-L1-REQ-015,evidence_check,tool_integration_required,presence,true,Requires lifecycle model and evidence integration.
DevSecOps Policy,DSPOL-REQ-011,minimum_requirements,Credential protection,Programs MUST ensure that no sensitive credentials are stored in source code.,Repository scan evidence SHALL show that sensitive credentials were checked and findings resolved or waived.,DSCB-L1-REQ-004; DSCB-L2-REQ-011,blocking_gate,immediate,threshold,true,Secret scanning can block releases or merges.
DevSecOps Policy,DSPOL-REQ-012,minimum_requirements,Dependency transparency,Programs MUST ensure that dependencies and third-party software components are transparent and verifiable.,"Dependency inventory, SBOM, and dependency scan evidence SHALL be available for releasable artifacts.",DSCB-L1-REQ-005; DSCB-L1-REQ-006; DSCB-L2-REQ-005,blocking_gate,immediate,presence,true,SBOM and dependency scan evidence can be checked automatically.
DevSecOps Policy,DSPOL-REQ-013,minimum_requirements,Vulnerability management,"Programs MUST ensure that vulnerabilities are identified, assessed, and treated according to defined SLAs.",Vulnerability scan and assessment evidence SHALL show treatment status against defined severity thresholds and SLAs.,DSCB-L1-REQ-009; DSCB-L1-REQ-010,blocking_gate,tool_integration_required,threshold,true,Requires vulnerability tool and SLA configuration.
DevSecOps Policy,DSPOL-REQ-014,minimum_requirements,Release artifact integrity,"Programs MUST ensure that releasable artifacts are uniquely identifiable, reproducible, and cryptographically signed.","Artifact metadata SHALL show unique identity, integrity evidence, reproducibility evidence where applicable, and signature evidence according to the required baseline level.",DSCB-L1-REQ-011; DSCB-L1-REQ-012; DSCB-L2-REQ-007; DSCB-L3-REQ-001,evidence_check,tool_integration_required,integrity,true,"Full check depends on artifact repository, signing, and reproducible build integration."
DevSecOps Policy,DSPOL-REQ-015,minimum_requirements,End-to-end traceability,"Programs MUST ensure that requirements, source code, builds, and deployed artifacts are traceable.","Traceability evidence SHALL link requirements, source code changes, build records, artifact identifiers, and deployment records.",DSCB-L1-REQ-001; DSCB-L3-REQ-009,evidence_check,tool_integration_required,linkage,true,"Requires ALM, repository, pipeline, artifact, and deployment linkage."
DevSecOps Policy,DSPOL-REQ-016,minimum_requirements,Release approval evidence,Programs MUST ensure that release approvals are formally documented and auditable.,Each release SHALL reference an approval record linked to release and artifact identifiers.,DSCB-L1-REQ-013; DSCB-L1-REQ-014,evidence_check,tool_integration_required,approval,true,Requires release workflow or environment approval evidence.
DevSecOps Policy,DSPOL-REQ-017,evidence,Machine-generated evidence,"For all mandatory controls, machine-generated evidence SHALL be available and retained.",Evidence repository records SHALL show retained machine-generated evidence for applicable mandatory controls.,DSCB-L1-REQ-015; DSCB-L3-REQ-011,evidence_check,immediate,presence,true,Evidence bundle completeness can be checked.
DevSecOps Policy,DSPOL-REQ-018,evidence,Manual evidence justification,Manual evidence is permitted only where automation is technically or regulatorily infeasible and must be formally justified.,Manual evidence records SHALL include justification for infeasibility of automation and approval status.,DSCB-GOV-REQ-003; DSCB-GOV-REQ-005,evidence_check,immediate,approval,true,Manual evidence exceptions can be checked through governance records.
DevSecOps Policy,DSPOL-REQ-019,maturity_applicability,Maturity achievement or waiver,Programs SHALL achieve their defined maturity level or obtain formally approved waivers.,"Program records SHALL show target maturity level, current maturity status, and approved waiver where target maturity is not achieved.",DSCB-GOV-REQ-001; DSCB-GOV-REQ-003,evidence_check,tool_integration_required,approval,true,Requires maturity assessment and waiver registry integration.
DevSecOps Policy,DSPOL-REQ-020,deviations,Waiver constraints,"Deviations from mandatory requirements MUST be justified, risk-classified, compensated, time-limited, centrally recorded, and re-evaluated prior to expiry.","Waiver records SHALL contain justification, risk classification, compensating controls, expiry date, registry identifier, and re-evaluation status.",DSCB-GOV-REQ-004; DSCB-GOV-REQ-005,blocking_gate,immediate,approval,true,Waiver completeness and expiry can be checked automatically.
DevSecOps Policy,DSPOL-REQ-021,compliance_reporting,Compliance reporting and enforcement,"Compliance with the DevSecOps Policy is mandatory and shall be considered in program approvals, architecture decisions, process reviews, audits, and periodic corporate reporting.","Governance evidence SHALL show compliance consideration in program approvals, architecture decisions, reviews, audits, and periodic reporting.",DSCB-GOV-REQ-002,review_check,tool_integration_required,review,true,"The existence and status of review evidence can be checked, but judgment remains human."
DevSecOps Directive,DSDIR-REQ-001,strategic_authority,CDO enterprise ownership,"The CDO is the enterprise owner of DevSecOps and is responsible for establishing DevSecOps as the enterprise software delivery model, platform capability funding, adoption timelines, maturity targets, safety lifecycle integration, and executive maturity reporting.","Governance records SHALL identify CDO ownership, adoption targets, maturity reporting, and platform capability responsibility.",DSCB-GOV-REQ-001; DSCB-GOV-REQ-002,evidence_check,immediate,presence,true,Ownership and reporting records can be checked.
DevSecOps Directive,DSDIR-REQ-002,strategic_authority,Cybersecurity authority,"The CISO is responsible for cybersecurity control baselines, vulnerability requirements and SLAs, security domain classification, cybersecurity risk acceptance, cybersecurity audits, and veto authority regarding reductions of mandatory cybersecurity controls.","Governance records SHALL identify cybersecurity authority, control baseline ownership, SLA ownership, domain classification, risk acceptance, and veto records where applicable.",DSCB-L1-REQ-009; DSCB-L1-REQ-010; DSCB-GOV-REQ-003,evidence_check,tool_integration_required,presence,true,Requires governance and security risk records.
DevSecOps Directive,DSDIR-REQ-003,strategic_authority,Safety authority,"The Safety Authority is responsible for safety lifecycle requirements, safety impact classifications, safety-critical deviation approvals, and safety evidence generation within DevSecOps processes.","Safety governance records SHALL identify safety authority responsibilities, classifications, deviation approvals, and safety evidence obligations.",DSCB-L1-REQ-001; DSCB-L3-REQ-009,evidence_check,tool_integration_required,presence,true,Requires safety governance and evidence integration.
DevSecOps Directive,DSDIR-REQ-004,governance_board,Governance Board establishment,A DevSecOps Governance Board shall be established to coordinate enterprise-wide DevSecOps implementation.,Governance records SHALL contain an approved DevSecOps Governance Board charter and active board record.,DSCB-GOV-REQ-002,evidence_check,immediate,presence,true,Board charter and status can be checked.
DevSecOps Directive,DSDIR-REQ-005,governance_board,Governance Board composition,"The DevSecOps Governance Board shall include SDD capability leadership, CISO representation, Safety Authority representation, enterprise architecture, divisional or program representation, and compliance representation where applicable.",Board membership records SHALL show required role representation or documented justification for non-applicability.,DSCB-GOV-REQ-002,evidence_check,immediate,presence,true,Membership records can be checked.
DevSecOps Directive,DSDIR-REQ-006,governance_board,Governance Board responsibilities,"The DevSecOps Governance Board is responsible for maintaining control baseline structure, approving standards and baselines, defining maturity levels, evaluating waivers, monitoring adoption, and coordinating domain-specific implementations.","Governance decision records SHALL show board decisions for baselines, standards, maturity levels, waivers, adoption monitoring, and domain-specific implementation topics.",DSCB-GOV-REQ-001; DSCB-GOV-REQ-002; DSCB-GOV-REQ-003,review_check,tool_integration_required,review,true,Decision existence can be checked but board judgment remains human.
DevSecOps Directive,DSDIR-REQ-007,governance_board,Escalation authority,"The Board shall escalate high-risk cybersecurity matters to the CISO, safety-critical deviations to the Safety Authority, and enterprise governance conflicts to the CDO.",Escalation records SHALL show that decisions were escalated to the required authority according to matter type.,DSCB-GOV-REQ-003; DSCB-GOV-REQ-005,evidence_check,immediate,approval,true,Escalation routing and approval authority can be checked in governance records.
DevSecOps Directive,DSDIR-REQ-008,platform_governance,Platform ownership,Enterprise DevSecOps platform capabilities shall be operated under the responsibility of the DevSecOps Platform Lead within the CDO organization.,Platform governance records SHALL identify the responsible Platform Lead and platform scope.,DSCB-L2-REQ-003; DSCB-L2-REQ-004,evidence_check,immediate,presence,true,Platform ownership metadata can be checked.
DevSecOps Directive,DSDIR-REQ-009,platform_governance,Platform Lead responsibilities,"The Platform Lead is responsible for approved pipeline blueprints, implementing enterprise control baselines, secure artifact repositories, evidence generation mechanisms, and platform lifecycle management.","Platform evidence SHALL show approved pipeline blueprints, baseline implementation evidence, artifact repository configuration, evidence generation, and lifecycle management records.",DSCB-L1-REQ-015; DSCB-L2-REQ-011; DSCB-L2-REQ-012,evidence_check,tool_integration_required,presence,true,Requires platform inventory and configuration evidence.
DevSecOps Directive,DSDIR-REQ-010,platform_governance,Domain platform compliance,All domain-specific DevSecOps platform variants must comply with enterprise DevSecOps Standards.,Each domain platform variant SHALL provide compliance evidence against applicable enterprise DevSecOps Standards and PRA-Level requirements.,DSCB-GOV-REQ-001; DSCB-GOV-REQ-002,evidence_check,tool_integration_required,linkage,true,Requires platform variant inventory and compliance evidence.
DevSecOps Directive,DSDIR-REQ-011,adoption_rules,New program adoption,All programs initiated after entry into force of the DevSecOps Policy shall implement DevSecOps in accordance with enterprise Standards.,Program approval records SHALL show DevSecOps adoption status and applicable enterprise standards for new programs.,DSCB-GOV-REQ-001,evidence_check,immediate,presence,true,Program metadata and approval records can be checked.
DevSecOps Directive,DSDIR-REQ-012,adoption_rules,Program approval consideration,DevSecOps adoption shall be considered during program approval processes.,Program approval evidence SHALL include DevSecOps adoption assessment or documented waiver.,DSCB-GOV-REQ-002; DSCB-GOV-REQ-003,evidence_check,immediate,approval,true,Approval checklist evidence can be checked.
DevSecOps Directive,DSDIR-REQ-013,adoption_rules,Existing program transition roadmap,Existing programs shall establish a DevSecOps transition roadmap aligned with enterprise maturity targets.,Existing program records SHALL include a transition roadmap linked to enterprise maturity targets.,DSCB-GOV-REQ-001; DSCB-GOV-REQ-002,evidence_check,immediate,presence,true,Roadmap presence and maturity target linkage can be checked.
DevSecOps Directive,DSDIR-REQ-014,control_baseline_management,Control baseline definition,Mandatory DevSecOps control baselines shall be defined in DevSecOps Standards.,Standard inventory evidence SHALL identify the mandatory DevSecOps control baselines and their approved versions.,DSCB-GOV-REQ-001,evidence_check,immediate,presence,true,Document inventory metadata can be checked.
DevSecOps Directive,DSDIR-REQ-015,control_baseline_management,Control baseline coverage,"The control baseline shall include cybersecurity, safety, software supply chain integrity, artifact integrity and signing, traceability and evidence, operational monitoring, and lifecycle management requirements.",Control baseline metadata SHALL show coverage of the required requirement domains.,DSCB-L1-REQ-001; DSCB-L1-REQ-006; DSCB-L1-REQ-011; DSCB-L2-REQ-007; DSCB-L2-REQ-013; DSCB-L2-REQ-014,evidence_check,immediate,presence,true,Control domain coverage can be checked in the control library.
DevSecOps Directive,DSDIR-REQ-016,control_baseline_management,Applicable baseline assignment,"Programs must implement the applicable control baseline based on security domain, system criticality, and operational environment.","Program metadata SHALL show security domain, system criticality, operational environment, and assigned control baseline level.",DSCB-GOV-REQ-001,evidence_check,immediate,presence,true,Baseline assignment can be checked through program metadata.
DevSecOps Directive,DSDIR-REQ-017,waiver_management,Waiver conditions,"Deviations from mandatory requirements are permitted only where technical or regulatory justification exists, risk classification is documented, compensating controls are defined, and expiry dates are defined.","Waiver records SHALL include technical or regulatory justification, risk classification, compensating controls, and expiry date.",DSCB-GOV-REQ-004; DSCB-GOV-REQ-005,blocking_gate,immediate,approval,true,Waiver completeness can be checked automatically.
DevSecOps Directive,DSDIR-REQ-018,waiver_management,Central waiver registry,All waivers must be documented in a centralized waiver registry.,Each active waiver SHALL have a central waiver registry identifier and status.,DSCB-GOV-REQ-003; DSCB-GOV-REQ-005,blocking_gate,immediate,presence,true,Registry presence can be checked automatically.
DevSecOps Directive,DSDIR-REQ-019,waiver_management,Waiver authority,Approval authority shall follow risk classification.,Waiver approval evidence SHALL show approval by the authority required for the documented risk classification.,DSCB-GOV-REQ-005,blocking_gate,immediate,approval,true,Approval authority can be checked against risk classification.
DevSecOps Directive,DSDIR-REQ-020,reporting,Enterprise reporting,"The DevSecOps Governance Board shall establish enterprise reporting covering platform adoption, maturity distribution, open waivers by risk category, vulnerability remediation performance, and compliance audit findings.","Enterprise reporting evidence SHALL include platform adoption, maturity distribution, waiver status, vulnerability remediation performance, and audit finding metrics.",DSCB-GOV-REQ-002,evidence_check,tool_integration_required,presence,true,"Requires reporting integration across platform, waiver, vulnerability, and audit data."
DevSecOps Directive,DSDIR-REQ-021,reporting,Periodic reporting,Reporting shall be provided periodically to the CDO and relevant governance bodies.,"Reporting records SHALL show reporting period, recipients, delivery status, and covered metrics.",DSCB-GOV-REQ-002,evidence_check,immediate,presence,true,Reporting delivery metadata can be checked.
DevSecOps Directive,DSDIR-REQ-022,document_hierarchy,Implementation through standards and processes,"The Directive shall be implemented through DevSecOps Standards, processes, and guidelines including Control Baseline, Secure Software Supply Chain, Artifact Integrity and Signing, Evidence and Traceability, Platform Architecture, Waiver Management, Platform Onboarding, Program Maturity Assessment, Pipeline Blueprint Usage, Secure Coding, and SBOM Management guidance.","Document hierarchy records SHALL show the standards, processes, and guidelines implementing the Directive and their current approval status.",DSCB-GOV-REQ-002,evidence_check,immediate,presence,true,Document hierarchy metadata can be checked.
